NOR,PNORG,PNORB,School_Phase,GFTE,Total_Teachers,Total_Teaching_Assistants ,School_0ort,Full_Time_Teachers,Pupil_Teacher_Ratio,GPS_AVERAGE,MAT_AVERAGE,READ_AVERAGE
285,49.5,50.5,Primary,45421,24,18,30,19.1,15,111,110,110
350,53.4,46.6,Primary,47681,20,9,7,18.3,19.1,107,103,106
410,49,51,Primary,47719,25,15,3,24.4,16.7,109,108,108
405,44.2,55.8,Primary,43671,24,21,9,21.2,18.5,113,110,109
427,49.2,50.8,Primary,43629,25,16,11,21.7,19.4,102,100,99
285,46.3,53.7,Primary,46138,18,28,6,16.6,17.2,107,106,104
197,51.3,48.7,Primary,42248,16,10,4,15.3,12.9,108,106,105
228,54.4,45.6,Primary,45758,15,15,3,13.2,17.3,105,103,101
188,46.3,53.7,Primary,44079,12,12,7,11,17.1,109,106,106
417,47.7,52.3,Primary,45015,30,32,16,29.6,13.7,104,104,104
377,46.7,53.3,Primary,46995,22,19,6,19.8,18.8,,,
472,47.7,52.3,Primary,54873,25,39,12,21.8,21.1,105,102,105
396,50.8,49.2,Primary,48455,24,28,11,22.4,17.7,106,105,104
415,49.6,50.4,Primary,46831,27,17,9,26.1,15.9,,,
444,44.1,55.9,Primary,59234,25,32,9,23.6,18.7,107,106,106
459,50.5,49.5,Primary,50951,23,34,15,21.1,21.6,103,102,101
227,50.2,49.8,Primary,48427,12,13,3,10.4,21.8,105,105,103
236,51.3,48.7,Primary,47726,15,17,5,11.8,20,103,104,103
195,51.8,48.2,Primary,42982,12,8,3,10.5,18.6,104,107,104
224,47.3,52.7,Primary,42012,12,16,3,11.4,19.6,110,108,108
266,50.4,49.6,Primary,42893,14,14,4,12.7,20.8,104,102,101
229,52.8,47.2,Primary,40240,12,9,6,12,19.1,,,
176,52.8,47.2,Primary,43526,11,28,2,10.3,17.1,108,105,105
210,52.4,47.6,Primary,43436,14,9,2,11.9,17.7,107,103,106
237,46.8,53.2,Primary,44817,17,31,3,14.3,16.6,105,105,102
324,49.4,50.6,Primary,46023,19,15,4,16.4,19.7,107,103,104
198,57.1,42.9,Primary,47513,11,19,3,11,17.7,102,105,106
260,46.9,53.1,Primary,43010,16,8,5,15.2,17.1,108,105,106
222,51.4,48.6,Primary,44410,14,6,4,13.5,16.4,107,106,105
213,56.8,43.2,Primary,41897,13,9,3,13,16.3,104,102,104
201,50.7,49.3,Primary,43617,10,10,5,8.6,23.4,111,109,107
224,49.6,50.4,Primary,45600,10,9,4,9.6,23.3,107,106,105
226,51.3,48.7,Primary,44110,14,10,4,13.1,17.2,107,106,106
147,53.1,46.9,Primary,46311,8,5,2,8,18.4,109,109,107
210,45.7,54.3,Primary,45443,12,13,5,9.4,22,107,106,104
205,51.2,48.8,Primary,47900,12,15,5,9.5,21.5,105,103,100
206,51.9,48.1,Primary,56327,9,6,3,9,22.9,108,107,107
217,58.5,41.5,Primary,49170,11,6,6,11,19.7,107,106,104
950,41.4,58.6,Secondary,49446,71,19,24,69.5,13.7,109,106,105
1170,96,4,Secondary,45185,82,5,25,77.9,15,105,105,104
1003,45,55,Secondary,43879,70,10,28,69.4,14.5,106,105,106
1308,47.5,52.5,Secondary,45698,92,19,28,90.1,14.5,105,103,103
1008,33.7,66.3,Secondary,45981,82,28,26,78.4,12.9,107,106,107
1025,85.8,14.2,Secondary,49134,83,12,29,63.8,16.1,105,105,104
711,58.8,41.2,Secondary,46464,56,16,20,55,12.9,108,106,104
836,7.7,92.3,Secondary,51492,58,9,19,54.3,15.4,109,105,106
1073,98.6,1.4,Secondary,48383,84,8,25,75.1,14.3,103,105,104
226,57.5,42.5,Primary,45746,14,17,6,11.3,19.5,105,105,106
677,47.3,52.7,Primary,43929,36,25,8,35.3,19.2,102,104,99
97,50.5,49.5,Primary,37371,6,6,2,5.2,18.7,103,106,101
1133,47.8,52.2,Secondary,45641,93,37,35,86.5,13.1,103,103,101
143,40.6,59.4,Primary,43589,9,8,2,8.7,16.5,114,111,110
262,45,55,Primary,43096,12,21,3,11.6,22.3,103,104,103
861,48.2,51.8,Primary,43649,45,34,14,40,20.9,105,106,103
430,48.8,51.2,Primary,48193,22,24,7,20.3,20.3,108,107,107
243,44.9,55.1,Primary,38228,15,19,6,12.4,18.5,108,106,105
438,40.9,59.1,Primary,39750,25,30,9,22.7,18.7,109,109,105
393,50.4,49.6,Primary,41523,20,15,7,19.6,19.6,104,105,104
354,49.4,50.6,Primary,44977,22,24,3,21,16.4,108,106,106
437,51.9,48.1,Primary,42843,19,31,5,16.8,25.5,105,106,104
350,49.7,50.3,Primary,43789,20,17,6,18.8,17.9,109,107,104
424,48.1,51.9,Primary,43460,17,21,10,16.3,24.7,107,103,104
677,50.8,49.2,Primary,35293,35,31,9,34,19.3,103,101,102
414,49.3,50.7,Primary,43712,30,20,7,29.3,13.5,108,107,107
237,49.4,50.6,Primary,46997,20,15,12,15.8,14.4,100,99,99
791,46.4,53.6,Primary,45938,40,40,24,35.9,21.4,108,107,106
480,46.3,53.8,Primary,37640,19,23,7,17.8,25.2,108,109,107
239,54,46,Primary,39331,10,12,6,9,25.1,106,105,102
421,47.3,52.7,Primary,50327,20,31,5,16.6,24.4,106,105,105
453,55.8,44.2,Primary,45084,25,26,6,20.7,21,104,107,105
457,48.1,51.9,Primary,42465,28,27,8,26.4,16.3,106,103,103
598,46,54,Primary,42612,32,35,9,28.9,19.9,101,100,97
408,49.3,50.7,Primary,42285,26,31,6,24.2,16.3,105,105,105
465,52.7,47.3,Primary,50064,25,20,11,21.6,20.2,105,106,106
869,48.9,51.1,Primary,41169,45,25,29,41,20.3,102,100,99
390,45.4,54.6,Primary,44964,24,20,8,22.2,16.6,107,107,106
232,50.9,49.1,Primary,46250,15,16,4,11.6,19.1,107,105,105
446,51.3,48.7,Primary,41945,21,27,22,19.1,22,106,105,102
463,54.4,45.6,Primary,46055,13,22,10,13,34.3,106,107,104
187,53.5,46.5,Primary,54052,11,13,5,11,17,110,107,106
210,51,49,Primary,43911,9,15,5,8.6,24.4,107,104,102
452,46.5,53.5,Primary,42233,25,21,5,22.3,19.4,104,101,102
298,47.7,52.3,Primary,43680,18,16,6,14,21.3,101,102,100
192,57.8,42.2,Primary,45519,12,16,3,10.8,17.8,108,106,107
331,51.1,48.9,Primary,44408,19,19,11,16.5,19.4,104,103,103
1169,50.4,49.6,All through,40603,73,58,24,70.5,16.3,106,106,107
353,47.3,52.7,Primary,37474,17,7,4,15.2,22.5,107,106,104
236,50.4,49.6,Primary,48637,13,9,6,11.9,19.1,104,104,101
209,49.3,50.7,Primary,43887,10,9,4,9.2,22.7,103,104,104
199,53.3,46.7,Primary,45049,9,9,3,8.8,22.6,112,109,110
394,49.7,50.3,Primary,39430,25,26,4,21.9,17.1,112,111,110
173,42.8,57.2,Primary,44059,6,10,8,6,28.7,103,103,103
192,54.7,45.3,Primary,43927,10,7,2,8.2,23.3,109,107,105
216,46.8,53.2,Primary,43285,11,11,3,10.6,19.5,109,105,103
211,55.5,44.5,Primary,39578,14,13,3,12.7,15.7,105,104,102
1114,99.2,0.8,Secondary,48069,72,10,21,68.1,16.4,106,105,105
1432,91.9,8.1,Secondary,45557,110,39,46,98.6,14.5,104,104,102
1905,45.2,54.8,Secondary,46617,120,42,47,110.4,17.3,110,107,107
1216,42.6,57.4,Secondary,47731,85,23,30,80.1,15.2,103,103,103
624,100,0,Secondary,44340,45,9,15,41.6,15,108,107,105
643,50.2,49.8,Primary,46876,32,36,6,29.8,20.9,110,106,107
1193,44.1,55.9,Secondary,42484,101,29,18,95.4,12.5,109,108,107
430,46.7,53.3,Primary,46558,20,32,7,19.8,20.8,108,106,105
699,49.2,50.8,Primary,45628,30,38,21,29.4,22.1,106,104,104
808,46.3,53.7,Primary,38465,53,64,11,41.3,19.2,107,103,102
587,47.2,52.8,Primary,40052,35,39,8,34,17.3,107,105,103
467,52.5,47.5,Primary,38330,23,21,4,21.7,19.9,109,106,107
471,47.3,52.7,Primary,40584,28,22,28,25.6,17,115,111,108
551,37.7,62.3,Secondary,39508,37,13,15,36.8,15,104,103,103
1144,42.8,57.2,Secondary,50140,92,8,21,89.5,12.8,105,105,104
1514,5.9,94.1,Secondary,46694,120,27,36,114.4,13.2,111,108,107
1611,43.7,56.3,Secondary,44799,86,30,31,79.6,20.2,102,106,106
624,47,53,Secondary,44753,42,13,17,41.2,15.1,110,109,106
237,40.1,59.9,Secondary,,,,,,,109,106,105
819,49.3,50.7,Primary,43979,47,41,16,43.4,18.4,107,105,105
420,45,55,Primary,43771,19,22,6,18.4,21.9,105,107,109
